starttime,endtime,logreturn,score
"2016-12-30 09:00:00","2016-12-30 10:00:00",-0.3874,0.7567
"2016-12-30 10:00:00","2016-12-30 11:15:00",0.0924,0.7988
"2016-12-30 11:15:00","2016-12-30 14:15:00",0.0554,0.6961
"2016-12-30 14:15:00","2017-01-03 09:00:00",-0.0923,0.6909
"2017-01-03 09:00:00","2017-01-03 10:00:00",-0.0924,0.7088
"2017-01-03 10:00:00","2017-01-03 11:15:00",-0.1665,0.6957
"2017-01-03 11:15:00","2017-01-03 14:15:00",0.0185,0.6728
"2017-01-03 14:15:00","2017-01-03 21:10:00",-0.3896,0.6932
"2017-01-03 21:10:00","2017-01-03 22:10:00",-0.0372,0.6239
"2017-01-03 22:10:00","2017-01-03 23:10:00",0.2414,0.4924
"2017-01-03 23:10:00","2017-01-04 00:10:00",0.4627,0.4432
"2017-01-04 00:10:00","2017-01-04 01:10:00",-0.0185,0.3989
"2017-01-04 01:10:00","2017-01-04 02:10:00",0.1292,0.359
"2017-01-04 02:10:00","2017-01-04 09:40:00",-0.4436,0.6572
"2017-01-04 09:40:00","2017-01-04 10:55:00",0.1296,0.52
"2017-01-04 10:55:00","2017-01-04 13:55:00",0.0185,0.6928
"2017-01-04 13:55:00","2017-01-04 14:55:00",0.037,0.3495
"2017-01-04 14:55:00","2017-01-04 21:50:00",-0.4633,0.6664
"2017-01-04 21:50:00","2017-01-04 22:50:00",-0.0743,0.5998
"2017-01-04 22:50:00","2017-01-04 23:50:00",-0.0558,0.9932
"2017-01-04 23:50:00","2017-01-05 00:50:00",0,0.8939
"2017-01-05 00:50:00","2017-01-05 01:50:00",-0.0372,0.8045
"2017-01-05 01:50:00","2017-01-05 09:20:00",0.2416,0.689
"2017-01-05 09:20:00","2017-01-05 10:35:00",0.0371,0.7805
"2017-01-05 10:35:00","2017-01-05 13:35:00",-0.13,0.7286
"2017-01-05 13:35:00","2017-01-05 14:35:00",0.0372,0.5829
"2017-01-05 14:35:00","2017-01-05 21:30:00",0.1485,0.7065
